game_id,game_title,genre,developer,publisher,release_date,platform,price_usd,rating,number_of_players
276,Warfront Legends,Strategy,Electronic Arts,Electronic Arts,2021-06-01,PC,67.48,8.0,162087
277,Legends of Arcadia,FPS,Epic Games,Activision,2019-05-06,Mobile,27.35,9.2,38320
278,Quantum Rift,MMORPG,Capcom,Ubisoft,2020-08-24,PS5,66.33,8.6,332025
279,ElderQuest,FPS,Square Enix,Riot Games,2020-01-19,Mobile,44.61,8.8,95827
280,Apex Legends 2,Battle Royale,Activision,Activision,2022-10-16,All Platforms,32.91,9.2,369359
281,Vortex Arena,MMORPG,Electronic Arts,Square Enix,2021-04-08,Mobile,42.96,9.6,424505
282,Phantom Ops,MMORPG,Epic Games,Square Enix,2020-04-01,Xbox Series X,69.0,7.4,264931
283,ShadowRealm,FPS,Riot Games,Electronic Arts,2023-03-27,Xbox Series X,44.63,7.5,401605
284,Infinite Odyssey,MOBA,Bethesda,Ubisoft,2019-03-27,Xbox Series X,36.44,6.4,423899
285,CyberStrike,FPS,Blizzard,Riot Games,2023-04-16,PS5,51.67,8.3,411845
286,ChronoShift,MOBA,Epic Games,Epic Games,2023-11-09,PS5,32.01,6.1,328694
287,Titanfall: Frontiers,Battle Royale,Valve,Valve,2019-01-13,Mobile,23.79,7.9,29826
288,ShadowRealm,Strategy,Electronic Arts,Riot Games,2023-11-11,Xbox Series X,26.44,8.2,105734
289,Dragon Age: Resurgence,Sports,Valve,Valve,2020-11-13,PS5,26.4,7.1,162702
290,Neon Riders,MOBA,Bethesda,Bethesda,2021-02-25,PC,27.6,8.4,234834
291,Starborne,Battle Royale,Activision,Valve,2019-09-21,Mobile,26.94,6.1,182235
292,Phantom Ops,Simulation,Capcom,Blizzard,2022-10-10,All Platforms,52.04,6.1,103511
293,Neon Riders,Battle Royale,Capcom,Square Enix,2023-02-04,Nintendo Switch,29.09,9.3,464651
294,Titanfall: Frontiers,FPS,Valve,Ubisoft,2019-05-27,Mobile,37.28,7.4,278797
295,Neon Riders,FPS,Square Enix,Capcom,2018-09-06,Nintendo Switch,64.84,6.5,164033
296,ChronoShift,Sports,Activision,Electronic Arts,2018-09-07,Xbox Series X,43.7,8.1,86941
297,Phantom Ops,Battle Royale,Capcom,Blizzard,2021-08-05,Nintendo Switch,53.38,9.1,210209
298,Phantom Ops,RPG,Activision,Valve,2020-01-11,Xbox Series X,28.62,6.9,300806
299,ShadowRealm,Strategy,Epic Games,Activision,2021-01-13,PC,29.61,8.5,103818
300,Warfront Legends,FPS,Activision,Ubisoft,2021-09-26,Nintendo Switch,22.04,6.3,454662
